iter	Passed	Remaining
966	7170	244
967	7176	237
968	7183	229
969	7189	222
970	7195	214
971	7202	207
972	7208	200
973	7215	192
974	7224	185
975	7232	177
976	7238	170
977	7244	162
978	7251	155
979	7257	148
980	7264	140
981	7271	133
982	7278	125
983	7284	118
984	7290	111
985	7306	103
986	7319	96
987	7329	89
988	7336	81
989	7344	74
990	7350	66
991	7355	59
992	7364	51
993	7370	44
994	7377	37
995	7382	29
996	7388	22
997	7396	14
998	7402	7
999	7412	0
